Drug,N.Targets,N.Seedgenes,d.avg,zscore,pvalue
C07CUH,2,7,3.0,0.4418360821684621,1.0
C07CXP,1,7,2.0,-0.45714439920786093,0.75
C07CYO,2,4,3.0,0.13736056394868917,0.78
C07DOP,1,19,3.0,,0.0
C07FOH,1,19,4.0,3.446561747421316,1.0
C07GFA,1,1,2.0,,0.0
C07GQT,1,7,3.0,,0.0
C07GYC,1,19,3.0,,0.0
C07IKF,1,1,3.0,-1.083472677771923,0.46
C07ILY,1,11,2.0,-0.5199045022208314,0.46
C07LYE,1,7,3.0,,0.0
C07NGT,1,4,3.0,0.13736056394868917,0.78
C07OTB,1,7,3.0,-0.20412414523193165,0.76
C07PJE,1,7,2.0,-1.4919136877222166,0.31
C07SCG,1,19,4.0,2.9707231276484296,1.0
C07SOB,1,1,1.0,,0.0
C07TLH,1,1,2.0,0.0,0.0
C07XHY,2,7,2.0,-0.07474350927519333,0.75
C07YED,1,11,3.0,0.7946798828432627,0.99
C08BKG,1,19,3.0,-0.07295405746286913,0.9
C08CRZ,2,4,3.0,-1.5194157161896904,0.12
C08CSK,3,7,3.0,0.5836437135298302,1.0
C08ESX,1,7,3.0,0.2743516305843674,0.93
C08FGN,2,19,3.5,1.7431515872978387,1.0
C08GOU,1,7,3.0,0.3908940464153314,0.92
C08GUA,1,1,3.0,0.0,1.0
C08IZM,1,11,3.0,0.4937419311010187,0.92
C08KAB,1,7,2.0,-1.4919136877222166,0.31
C08MJC,1,19,3.0,,0.0
C08NEU,3,19,3.3333333333333335,1.5897875017907845,1.0
C08OCF,1,1,1.0,,0.0
C08PXR,1,7,2.0,,0.0
C08TVM,1,11,3.0,0.4937419311010187,0.92
C08UFV,1,7,2.0,,0.0
C08YOZ,2,19,3.5,1.7431515872978387,1.0
C08ZCY,1,7,2.0,,0.0
C08ZST,3,1,2.0,-2.9623708453941133,0.0
C09BLU,1,7,3.0,-0.054513926680071795,0.71
C09BQE,3,7,2.0,-0.3450158076462933,0.52
C09CHL,3,7,1.0,-3.365945337491575,0.0
C09DEG,1,11,2.0,,0.0
C09FGY,3,11,2.6666666666666665,0.5459564115674083,0.63
C09GIO,1,19,3.0,-0.07295405746286913,0.9
C09HCY,1,4,3.0,-0.5310850045437948,0.78
C09HXJ,2,7,3.5,0.7797740573947983,0.84
C09JDB,1,19,3.0,0.15294382258037464,0.9
C09MIU,1,7,2.0,,0.0
C09MVC,1,7,3.0,,0.0
C09NTJ,1,7,2.0,,0.0
C09OKY,1,7,2.0,,0.0
C09QGL,3,4,3.0,-0.5497834329684301,0.39
C09QUS,1,11,2.0,,0.0
C09ROJ,1,11,3.0,0.7946798828432627,0.99
C09TNA,1,1,2.0,0.0,0.0
C09UKQ,1,7,3.0,0.3908940464153314,0.92
C09UQY,1,7,1.0,,0.0
C09WNF,2,19,3.5,1.7431515872978387,1.0
C09XWJ,1,19,4.0,2.8401877872187726,1.0
C09ZYR,1,7,3.0,0.2743516305843674,0.93
C0A2FS,1,19,4.0,2.9707231276484296,1.0
C0A2SK,1,19,4.0,2.8401877872187726,1.0
C0A4JW,1,7,4.0,1.6039133565428894,1.0
C0A5RC,1,1,2.0,,0.0
C0A6GB,1,11,3.0,0.8320502943378437,1.0
C0A7BD,1,4,3.0,-0.5310850045437948,0.78
C0A7QB,1,1,3.0,0.0,1.0
C0AFD5,1,7,3.0,0.3908940464153314,0.92
C0AFT8,1,19,3.0,-0.06898830747274062,0.89
C0AI1V,1,7,1.0,,0.0
C0AJM1,1,7,1.0,-3.0899035625347433,0.0
C0AJM8,1,7,3.0,,0.0
C0AKG9,1,19,3.0,,0.0
C0AOG7,1,7,2.0,,0.0
C0AR8P,1,7,3.0,0.3770702340441721,0.98
C0ASJ7,1,4,3.0,,0.0
C0ASK4,2,7,2.0,-0.3993541055216846,0.6
C0ATV1,1,19,3.0,,0.0
C0AXJ5,1,4,3.0,-1.4577379737113256,0.32
C0AYJ4,1,11,3.0,,0.0
C0B1FM,1,19,3.0,0.15294382258037464,0.9
C0B2FT,1,19,3.0,,0.0
C0B2NV,2,11,2.5,0.1386750490563074,0.46
C0B5GC,1,1,2.0,0.0,0.0
C0B7CK,1,7,4.0,1.6039133565428894,1.0
C0B7RT,3,7,1.0,-3.365945337491575,0.0
C0BC6Y,1,19,3.0,,0.0
C0BF5R,3,4,3.0,-0.5497834329684301,0.39
C0BM5Q,1,19,4.0,2.8401877872187726,1.0
C0BP8I,1,7,2.0,-0.3993541055216846,0.6
C0BPL9,1,19,3.0,0.7383206816313613,1.0
C0BQ1U,1,1,3.0,0.0,1.0
C0BY6F,1,7,4.0,1.6039133565428894,1.0
C0BZF7,1,19,3.0,-0.06898830747274062,0.89
C0C2DX,1,19,3.0,0.27682264895422487,0.97
C0C2QW,1,7,2.0,,0.0
C0C3ZJ,2,11,2.5,0.1386750490563074,0.46
C0C5AY,1,7,3.0,0.5675318095554227,0.92
C0C5LA,1,1,1.0,,0.0
C0C6KD,1,4,4.0,,0.0
C0C7NV,1,1,2.0,0.0,0.0
C0C9PN,1,4,4.0,0.0,1.0
C0CDF4,1,11,3.0,0.4937419311010187,0.92
C0CET5,1,19,3.0,-0.06898830747274062,0.89
C0CF9G,3,7,2.0,-0.3450158076462933,0.52
C0CG7T,1,7,1.0,,0.0
C0CHF4,3,4,3.0,-0.5497834329684301,0.39
C0CHG3,1,7,1.0,,0.0
C0CHV4,1,1,3.0,0.0,1.0
C0CN2Z,1,7,1.0,-3.0899035625347433,0.0
C0CNQ3,1,7,3.0,,0.0
C0CPA8,1,11,3.0,0.8320502943378437,1.0
C0CT3B,1,7,3.0,-0.054513926680071795,0.71
C0CV6Z,1,19,3.0,-0.19791075025865942,0.9
C0CZ5P,1,1,3.0,0.0,1.0
C0D2KL,1,19,3.0,0.15294382258037464,0.9
C0D3IO,1,7,3.0,,0.0
C0D3PO,2,7,3.5,0.7797740573947983,0.84
C0D5OC,2,7,2.5,-0.5696519211398114,0.53
C0D7BW,1,4,3.0,,0.0
C0D7HE,1,7,3.0,0.47771245719481964,0.78
C0D8JY,1,4,3.0,-0.5471529031050638,0.26
C0D9KR,3,1,2.0,-2.9623708453941133,0.0
C0D9OG,1,11,2.0,,0.0
C0D9WJ,1,4,4.0,,0.0
C0DAZ6,1,11,2.0,-0.5199045022208314,0.46
C0DG7E,1,4,3.0,0.0,0.0
C0DHM9,1,19,3.0,,0.0
C0DI9A,1,19,3.0,-0.19791075025865942,0.9
C0DIH7,1,19,3.0,,0.0
C0DM8R,1,7,2.0,-0.07474350927519333,0.75
C0DN6S,1,7,2.0,-1.4919136877222166,0.31
C0DQI6,1,19,3.0,-0.06898830747274062,0.89
C0DR1J,1,7,3.0,-0.20412414523193165,0.76
C0DRH8,3,4,3.0,-0.5497834329684301,0.39
C0DWJ8,1,7,2.0,-0.07474350927519333,0.75
C0DYV7,1,11,2.0,,0.0
C0E4AV,1,7,3.0,0.2743516305843674,0.93
C0E4ZO,1,1,3.0,-1.083472677771923,0.46
C0E5HA,1,11,2.0,-0.5199045022208314,0.46
C0E5KX,1,19,3.0,,0.0
C0E6OM,1,7,3.0,0.47771245719481964,0.78
C0EAM8,1,19,4.0,2.8401877872187726,1.0
C0EC8V,1,7,3.0,0.6666666666666665,1.0
C0EG8P,4,19,3.25,1.4496035143157,1.0
C0EH3Z,1,7,1.0,-2.8577380332470406,0.0
C0EJ2D,1,1,1.0,,0.0
C0EJK3,1,11,3.0,1.1698156398982578,1.0
C0EM7K,1,1,2.0,0.0,0.0
C0EMA5,2,19,3.5,1.7214571252710136,0.98
C0EMZ1,1,4,3.0,,0.0
C0ENK8,1,7,1.0,,0.0
C0EPD3,1,4,3.0,,0.0
C0EPN7,1,4,3.0,-0.5310850045437948,0.78
C0EQX7,1,7,3.0,,0.0
C0ET3O,1,7,1.0,,0.0
C0ET7O,2,7,2.0,-0.3993541055216846,0.6
C0EUD7,1,7,3.0,-0.20412414523193165,0.76
C0EX9G,1,11,3.0,0.6726022302119343,0.91
C0F2NZ,1,7,3.0,0.2743516305843674,0.93
C0F3BO,3,1,2.0,-2.9623708453941133,0.0
C0F3DZ,1,4,3.0,-1.4577379737113256,0.32
C0F3LG,1,19,3.0,,0.0
C0F4YM,1,19,3.0,,0.0
C0F7CK,1,7,1.0,-2.833333333333333,0.0
C0F7RJ,1,7,4.0,1.6039133565428894,1.0
C0FA2X,4,11,2.5,0.29888128883203097,0.52
C0FD9B,1,19,3.0,,0.0
C0FE3Q,1,4,3.0,-1.4577379737113256,0.32
C0FE8U,1,19,4.0,3.446561747421316,1.0
C0FH8A,1,19,4.0,3.025207182525229,1.0
C0FIK4,1,7,2.0,,0.0
C0FIS1,1,7,3.0,0.9545454545454544,0.92
C0FK8W,1,1,2.0,0.0,0.0
C0FM2D,2,19,3.0,0.7145446229081069,1.0
C0FO4G,1,7,1.0,,0.0
C0FS3W,1,7,3.0,,0.0
C0FWV8,1,7,1.0,-3.0899035625347433,0.0
C0FX4E,1,7,3.0,-0.054513926680071795,0.71
C0FY4P,3,19,3.3333333333333335,1.6526292166008123,1.0
C0G1LM,1,1,3.0,0.0,1.0
C0G3FS,1,4,4.0,,0.0
C0G3LA,1,19,3.0,,0.0
C0G3PT,1,19,3.0,,0.0
C0G4AF,1,4,3.0,,0.0
C0G8KF,1,7,3.0,,0.0
C0G9KB,1,19,3.0,,0.0
C0GAC7,1,7,3.0,-0.054513926680071795,0.71
C0GBL7,3,19,3.3333333333333335,1.5897875017907845,1.0
C0GC2F,1,4,3.0,-0.5471529031050638,0.26
C0GC9K,1,7,2.0,,0.0
C0GE2X,3,7,1.0,-3.365945337491575,0.0
C0GEZ6,1,7,2.0,,0.0
C0GF4O,1,7,4.0,1.7056682396827332,1.0
C0GH2Z,1,1,3.0,-1.083472677771923,0.46
C0GIP4,1,4,3.0,-1.4577379737113256,0.32
C0GJ4U,1,7,3.0,0.5675318095554227,0.92
C0GLC7,1,11,3.0,0.7946798828432627,0.99
C0GN3C,1,19,3.0,,0.0
C0GPV1,1,19,3.0,0.15294382258037464,0.9
C0GRV7,1,19,3.0,-0.07295405746286913,0.9
C0GS4F,3,7,3.0,0.5836437135298302,1.0
C0GS5T,1,4,3.0,-0.5310850045437948,0.78
C0GSH9,1,11,3.0,0.4937419311010187,0.92
C0GT3E,1,7,3.0,0.5675318095554227,0.92
C0GVI7,1,1,2.0,0.0,0.0
C0H3LV,1,19,3.0,0.15294382258037464,0.9
C0H5RW,1,7,1.0,-2.8577380332470406,0.0
C0H6TR,3,11,2.6666666666666665,0.5459564115674083,0.63
C0H7OQ,1,19,2.0,,0.0
C0H8AW,1,4,3.0,,0.0
C0H8CM,1,7,2.0,-0.3993541055216846,0.6
C0H8GR,2,19,2.5,-1.6115589663919443,0.03
C0H8UN,3,1,2.0,-2.9623708453941133,0.0
C0H9DF,1,4,2.0,-1.5068211499136352,0.26
C0H9TR,1,7,3.0,-0.20412414523193165,0.76
C0HA4Y,3,7,1.0,-3.365945337491575,0.0
C0HA6F,3,19,3.3333333333333335,1.6526292166008123,1.0
C0HE8J,1,19,4.0,2.8401877872187726,1.0
C0HEC8,1,7,3.0,0.3908940464153314,0.92
C0HN4S,2,4,3.0,-1.4577379737113256,0.32
C0HN4T,1,11,2.0,,0.0
C0HN5J,3,7,3.0,0.5836437135298302,1.0
C0HO6F,1,19,2.0,,0.0
C0HOI9,1,19,3.0,-0.19791075025865942,0.9
C0HTK6,1,11,3.0,0.4937419311010187,0.92
C0HYK2,1,1,3.0,0.0,1.0
C0HYN3,2,7,0.5,-4.4117253386085205,0.0
C0HYX7,1,7,3.0,0.47771245719481964,0.78
C0I3YT,1,19,4.0,2.9707231276484296,1.0
C0I4MK,3,4,3.0,-0.5497834329684301,0.39
C0I4UK,1,11,3.0,0.4937419311010187,0.92
C0I5CA,1,7,1.0,,0.0
C0I5NG,3,19,3.3333333333333335,1.6526292166008123,1.0
C0I6QS,1,7,1.0,-2.833333333333333,0.0
C0I6WB,1,1,1.0,,0.0
C0I7PG,2,1,2.0,-0.9229582069908973,0.54
C0I9FY,1,19,3.0,,0.0
C0I9VF,1,11,2.0,-0.5199045022208314,0.46
C0IE3Y,1,19,4.0,3.446561747421316,1.0
C0IFL7,2,1,2.0,-0.9229582069908973,0.54
C0IG4E,1,7,2.0,-0.3993541055216846,0.6
C0IK7U,3,4,3.0,-0.5497834329684301,0.39
C0IP7C,3,7,3.0,0.5836437135298302,1.0
C0IQV7,1,19,3.0,,0.0
C0IS6K,1,7,1.0,-2.8577380332470406,0.0
C0IS9Y,1,1,3.0,-1.083472677771923,0.46
C0IV7W,1,19,4.0,4.817730411281796,1.0
C0IW5K,1,11,2.0,,0.0
C0IZU4,3,11,2.6666666666666665,0.5459564115674083,0.63
C0J3IM,1,19,3.0,-0.07295405746286913,0.9
C0J4LS,1,7,2.0,-0.3993541055216846,0.6
C0J6CH,3,1,2.0,-2.9623708453941133,0.0
C0J6DC,1,7,2.0,-1.4919136877222166,0.31
C0J6DV,1,7,3.0,0.4418360821684621,1.0
C0J6SK,1,19,3.0,,0.0
C0J7HO,1,19,3.0,,0.0
C0J7LM,1,19,3.0,,0.0
C0J8HC,3,4,3.0,-0.5497834329684301,0.39
C0J8WS,3,19,3.3333333333333335,1.6526292166008123,1.0
C0JCN7,2,7,0.5,-4.4117253386085205,0.0
C0JE3M,1,19,3.0,-0.07295405746286913,0.9
C0JH2G,1,7,3.0,,0.0
C0JHC6,1,7,2.0,,0.0
C0JI1M,1,1,2.0,0.0,0.0
C0JIZ8,1,7,3.0,-0.20412414523193165,0.76
C0JL3I,3,7,2.0,-0.3450158076462933,0.52
C0JMA7,1,11,3.0,0.8320502943378437,1.0
C0JP5I,1,7,3.0,0.2743516305843674,0.93
C0JV5A,1,1,2.0,,0.0
C0JWP5,3,19,3.3333333333333335,1.5897875017907845,1.0
C0JXQ9,1,19,3.0,,0.0
C0K1GF,1,11,3.0,0.4937419311010187,0.92
C0K1HQ,1,1,2.0,0.0,0.0
C0K5ZJ,3,19,3.3333333333333335,1.6526292166008123,1.0
C0K7OY,3,4,3.0,-0.5497834329684301,0.39
C0K7PC,1,7,3.0,,0.0
C0K9HA,3,7,1.0,-3.365945337491575,0.0
C0KAP2,1,7,3.0,,0.0
C0KD4U,4,11,2.75,0.5281757748471577,0.7
C0KHW3,2,7,3.0,0.4418360821684621,1.0
C0KI2X,1,7,2.0,,0.0
C0KLD8,3,7,2.0,-0.3450158076462933,0.52
C0KMS2,1,1,3.0,-1.083472677771923,0.46
C0KNI4,1,7,3.0,,0.0
C0KOC5,2,7,3.0,0.4418360821684621,1.0
C0KP7T,1,4,3.0,,0.0
C0KT5Q,1,4,3.0,-0.5310850045437948,0.78
C0KTX5,1,7,3.0,0.2743516305843674,0.93
C0KV5M,1,19,3.0,0.36288736930121185,0.97
C0L1UN,1,19,3.0,,0.0
C0L1YR,1,19,4.0,2.8401877872187726,1.0
C0L4SH,1,7,2.0,,0.0
C0L5YD,1,1,1.0,,0.0
C0L8QG,1,7,1.0,,0.0
C0L8QY,1,7,2.0,-0.07474350927519333,0.75
C0L9PQ,3,7,3.0,0.5836437135298302,1.0
C0LB6O,1,7,2.0,-1.4919136877222166,0.31
C0LCW3,1,1,2.0,,0.0
C0LF5R,1,1,3.0,-1.083472677771923,0.46
C0LF9I,1,19,3.0,,0.0
C0LFI4,1,4,2.0,-1.5068211499136352,0.26
C0LGI2,3,19,3.3333333333333335,1.5897875017907845,1.0
C0LHQ3,1,11,3.0,,0.0
C0LIA9,1,7,1.0,,0.0
C0LO5Q,1,1,3.0,0.0,1.0
C0LO6A,1,11,3.0,0.4937419311010187,0.92
C0LO9C,3,7,1.0,-3.365945337491575,0.0
C0LP8T,1,19,3.0,0.36288736930121185,0.97
