Drug,N.Targets,N.Seedgenes,d.avg,zscore,pvalue
C01ANL,1,4,3.0,0.0,0.0
C01BFQ,3,4,1.6666666666666667,-0.917041126567603,0.18
C01CYU,1,10,3.0,,0.0
C01DHS,1,13,2.0,,0.0
C01DJX,1,1,3.0,,0.0
C01DMO,2,7,2.5,0.0731272424127128,0.44
C01EVA,1,7,2.0,-0.6039571739702033,0.46
C01HMT,3,7,2.0,-0.2632519137892411,0.5
C01ICD,1,10,3.0,,0.0
C01JHI,3,13,2.0,-0.8955334711889906,0.38
C01JNE,1,10,3.0,0.714814506481447,0.96
C01JOU,1,1,3.0,,0.0
C01JRH,1,4,3.0,-0.9607689228305228,0.52
C01JRM,1,1,3.0,0.0,1.0
C01KCU,1,10,3.0,,0.0
C01OML,1,7,2.0,,0.0
C01OZU,2,7,2.5,0.0731272424127128,0.44
C01PGH,1,10,3.0,0.39539439203710747,0.92
C01PMA,1,7,2.0,,0.0
C01PRA,1,4,3.0,-1.0,0.5
C01UFA,1,7,2.0,-0.06337242505244785,0.78
C01UNB,2,7,2.0,-0.4885138148673662,0.53
C01VOH,1,13,2.0,-1.1751393027860062,0.42
C01XGU,1,4,3.0,-0.9607689228305228,0.52
C01ZNY,1,4,2.0,-1.3341052867874588,0.28
C02AMZ,1,7,3.0,,0.0
C02AQY,2,10,3.0,0.6016050333526897,0.86
C02BUA,1,7,2.0,,0.0
C02BUX,1,7,2.0,-0.8971664988325516,0.36
C02EUQ,3,7,2.0,-0.2632519137892411,0.5
C02HAV,1,7,3.0,0.4931969619160716,0.92
C02IYT,1,1,3.0,0.0,1.0
C02KAD,1,13,2.0,,0.0
C02KHV,1,13,2.0,,0.0
C02LWX,2,4,2.0,-0.5317297288501227,0.53
C02ONK,1,13,2.0,-1.1751393027860062,0.42
C02PEI,1,1,3.0,0.0,1.0
C02PLA,3,4,3.0,-0.6910467950160522,0.35
C02QZX,1,7,1.0,-1.4444444444444442,0.15
C02TEP,1,10,3.0,1.1921469919530692,0.92
C02TNX,1,7,3.0,0.4931969619160716,0.92
C02UFD,2,7,2.0,0.050774578905949455,0.84
C02VES,1,13,3.0,0.5619514869490169,1.0
C02XPN,1,1,2.0,-1.7795130420052179,0.24
C02YOC,1,10,3.0,,0.0
C02ZKT,1,7,3.0,0.4931969619160716,0.92
C03BAV,1,10,3.0,,0.0
C03DWN,1,10,2.0,-0.13360104902630554,0.7
C03EIS,1,4,2.0,-1.4027752513781488,0.28
C03ETI,3,13,2.0,-0.8955334711889906,0.38
C03ETJ,1,7,2.0,-0.8971664988325516,0.36
C03EXZ,1,7,3.0,0.4913036844405176,0.93
C03FBZ,1,4,2.0,-1.3341052867874588,0.28
C03FHL,1,7,3.0,0.8336157713463014,1.0
C03FQV,1,1,3.0,0.0,1.0
C03GIF,1,10,3.0,0.714814506481447,0.96
C03JWM,1,7,3.0,0.4913036844405176,0.93
C03KIL,1,4,2.0,-1.4027752513781488,0.28
C03KNO,3,4,1.6666666666666667,-0.917041126567603,0.18
C03KOR,1,7,2.0,,0.0
C03NOZ,1,10,3.0,0.42425965396222415,0.92
C03QVL,1,13,3.0,0.6546536707079768,1.0
C03QYS,1,7,3.0,0.4213504858001919,0.93
C03SFG,1,7,2.0,,0.0
C03SJY,1,7,3.0,0.8336157713463014,1.0
C03SUJ,1,7,2.0,,0.0
C03UJK,1,7,3.0,0.3563315890464476,0.89
C03UTQ,1,1,3.0,,0.0
C03WNH,1,4,4.0,,0.0
C03XEJ,1,1,3.0,0.5927489783638188,1.0
C03YNU,1,4,2.0,-1.4027752513781488,0.28
C04AFJ,1,10,3.0,0.39539439203710747,0.92
C04CGM,1,7,2.0,-0.8971664988325516,0.36
C04ELB,1,4,2.0,,0.0
C04FCZ,1,7,3.0,0.3563315890464476,0.89
C04FMC,1,4,2.0,,0.0
C04FUX,1,7,3.0,0.8014795324000771,1.0
C04IST,4,13,2.0,-0.8955334711889906,0.38
C04IZR,1,4,2.0,,0.0
C04JMO,2,4,3.0,-0.9607689228305228,0.52
C04JSE,3,1,3.0,2.872552741301585,1.0
C04MXE,1,4,2.0,-0.2773500981126144,0.74
C04NSW,1,10,3.0,,0.0
C04NYX,1,10,2.0,-0.13360104902630554,0.7
