Drug,N.Targets,N.Seedgenes,d.avg,zscore,pvalue
C01ANL,1,3,3.0,-0.6546536707079766,0.7
C01BFQ,3,10,3.0,0.9896916820739783,0.94
C01CYU,1,12,3.0,,0.0
C01DHS,1,0,3.0,,0.0
C01DJX,1,9,2.0,,0.0
C01DMO,2,7,2.0,-0.686204519424725,0.38
C01EVA,1,9,1.0,-1.8273931255582678,0.15
C01HMT,3,3,2.3333333333333335,-2.451608389820929,0.0
C01ICD,1,12,3.0,,0.0
C01JHI,3,9,2.0,-0.044906984505456764,0.53
C01JNE,1,0,3.0,,0.0
C01JOU,1,12,3.0,,0.0
C01JRH,1,12,3.0,0.6304883249912803,1.0
C01JRM,1,3,3.0,0.0,0.0
C01KCU,1,7,2.0,,0.0
C01OML,1,9,2.0,,0.0
C01OZU,2,0,3.0,,0.0
C01PGH,1,9,2.0,-0.4302763440196705,0.46
C01PMA,1,7,2.0,,0.0
C01PRA,1,7,2.0,-0.5619514869490169,0.76
C01UFA,1,12,3.0,0.8124999999999999,1.0
C01UNB,2,10,3.0,0.4730499167912658,0.93
C01VOH,1,3,2.0,-3.0206041812604205,0.0
C01XGU,1,9,2.0,-0.218824895275681,0.51
C01ZNY,1,3,3.0,-1.4577379737113256,0.32
C02AMZ,1,0,3.0,,0.0
C02AQY,2,9,2.0,-0.6721239770148241,0.25
C02BUA,1,7,2.0,,0.0
C02BUX,1,0,3.0,,0.0
C02EUQ,3,12,3.0,0.7516283835227735,1.0
C02HAV,1,7,2.0,-1.218543591689885,0.36
C02IYT,1,10,3.0,-0.01373735243264994,0.76
C02KAD,1,3,3.0,,0.0
C02KHV,1,9,2.0,,0.0
C02LWX,2,3,2.0,-3.196778113170756,0.0
C02ONK,1,9,2.0,-0.218824895275681,0.51
C02PEI,1,3,3.0,-0.6546536707079766,0.7
C02PLA,3,0,3.0,,0.0
C02QZX,1,7,2.0,-1.199593427059311,0.41
C02TEP,1,10,3.0,0.8666399694942736,0.86
