"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","module","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1152","3.03480826","2.1085E-4","0.32951011","0.25","8","5","false","1","GPD1L","50.0","8","0",,,"0","0.70931311","false","0","GPD1L","10764","0.178125"
"1153","3.17581121","2.0406E-4","0.31488018","0.2","5","5","false","7","GOLGB1","54.6","5","0",,,"0","0.68916983","false","0","GOLGB1","9556","0.23362069"
"1154","3.4460177","6.99E-5","0.29019004","0.0","3","5","false","14","GOLGA5","43.0","3","0",,,"0","0.6505689","false","0","GOLGA5","3344","0.3853211"
"1155","3.47433628","1.291E-5","0.28782476","0.0","2","5","false","14","GOLGA3","50.5","2","0",,,"0","0.64652339","false","0","GOLGA3","720","0.52105263"
"1156","2.91917404","9.634E-4","0.34256265","0.13333333","10","5","false","7","GOLGA2","51.1","10","0",,,"0","0.72583228","false","0","GOLGA2","38474","0.13298429"
"1157","3.15457227","6.026E-5","0.31700019","0.0","3","5","false",,"FNBP1","73.33333333","3","0",,,"0","0.69220396","false","0","FNBP1","2636","0.34281201"
"1158","3.00825959","0.0","0.33241812","1.0","6","5","false",,"FAM114A2","83.16666667","6","0",,,"0","0.71310577","false","0","FAM114A2","0","0.28287982"
"1159","2.81651917","0.00436008","0.35504818","0.05937922","39","4","false",,"CLIP1","20.84615385","39","0",,,"0","0.74049726","false","0","CLIP1","176964","0.04973368"
"1160","3.02949853","0.00146167","0.33008763","0.08333333","9","5","false",,"CLIC1","30.22222222","9","0",,,"0","0.71007164","false","0","CLIC1","35850","0.13117964"
"1161","3.03716814","1.2726E-4","0.32925408","0.2","6","5","false",,"CLASP2","58.16666667","6","0",,,"0","0.70897598","false","0","CLASP2","6254","0.1915011"
"1162","3.12920354","9.44E-6","0.31957014","0.33333333","3","5","false",,"CCDC6","107.66666667","3","0",,,"0","0.69582807","false","0","CCDC6","868","0.42592593"
"1163","2.54454277","0.00592528","0.39299791","0.16110305","53","4","false",,"ATG7","40.49056604","53","0",,,"0","0.77935103","false","0","ATG7","234926","0.05135336"
"1164","2.92389381","1.4074E-4","0.34200969","0.47222222","9","5","false",,"AP3B1","69.33333333","9","0",,,"0","0.72515803","false","0","AP3B1","8680","0.19069483"
"1165","2.67374631","0.00137306","0.37400706","0.20615385","26","5","false","7","TGM2","49.57692308","26","0",,,"0","0.76089338","false","0","TGM2","66452","0.08114754"
"1166","2.4100295","0.00501032","0.41493268","0.25036284","53","4","false",,"MAPK14","59.9245283","53","0",,,"0","0.79856721","false","0","MAPK14","264780","0.0609653"
"1167","3.21356932","2.3694E-4","0.31118047","0.15555556","10","5","false",,"S100A10","12.4","10","0",,,"0","0.68377581","false","0","S100A10","8804","0.11960784"
"1168","3.14513274","2.171E-5","0.3179516","0.5","5","5","false",,"PEA15","58.0","5","0",,,"0","0.69355247","false","0","PEA15","1012","0.34610778"
"1169","3.20058997","1.7591E-4","0.3124424","0.2","5","5","false","7","PALLD","40.8","5","0",,,"0","0.68563","false","0","PALLD","4108","0.23218391"
"1170","3.2820059","9.13E-5","0.30469171","0.3","5","5","false",,"NNMT","22.4","5","0",,,"0","0.67399916","false","0","NNMT","2516","0.21568627"
"1171","2.86371681","2.8087E-4","0.34919654","0.13888889","9","5","false",,"MARCKS","69.22222222","9","0",,,"0","0.73375474","false","0","MARCKS","11314","0.15884013"
"1172","2.9339233","1.1653E-4","0.34084054","0.28571429","8","5","false",,"MAP1B","66.125","8","0",,,"0","0.72372524","false","0","MAP1B","6262","0.17054264"
"1173","2.8619469","0.00208667","0.34941249","0.07017544","19","5","false","4","FHL2","29.94736842","19","0",,,"0","0.73400759","false","0","FHL2","80484","0.0795133"
"1174","2.91032448","1.234E-4","0.3436043","0.13333333","6","5","false",,"EGLN1","83.5","6","0",,,"0","0.7270965","false","0","EGLN1","6216","0.21012658"
"1175","3.23126844","1.308E-5","0.30947599","0.16666667","4","5","false",,"AKAP13","33.0","4","0",,,"0","0.68124737","false","0","AKAP13","562","0.27310924"
"1176","3.03834808","6.5378E-4","0.32912621","0.05494505","14","5","false",,"AKAP12","24.42857143","14","0",,,"0","0.70880742","false","0","AKAP12","20778","0.08455326"
"1177","2.71622419","0.00199478","0.36815812","0.10826211","27","4","false",,"FKBP1A","39.37037037","27","0",,,"0","0.75482512","false","0","FKBP1A","73886","0.07117845"
"1178","2.45781711","0.00629382","0.4068651","0.16419816","89","4","false","4","CDK9","61.11235955","89","0",,,"0","0.79174041","false","0","CDK9","360678","0.06795316"
"1179","3.14926254","1.46E-6","0.31753466","0.66666667","3","5","false",,"AIP","78.33333333","3","0",,,"0","0.69296249","false","0","AIP","148","0.38971808"
"1180","3.34041298","0.0","0.29936418","0.0","1","5","false","1","AIFM2","127.0","1","0",,,"0","0.66565529","false","0","AIFM2","0","0.0"
"1181","2.85545723","0.00161037","0.35020661","0.09473684","20","5","false","6","UNC45A","37.2","20","0",,,"0","0.73493468","false","0","UNC45A","72854","0.09019608"
"1182","2.9480826","1.2821E-4","0.33920352","0.4","5","5","false","6","TOMM34","95.4","5","0",,,"0","0.72170249","false","0","TOMM34","7588","0.27674419"
"1183","3.21297935","1.004E-5","0.31123761","0.33333333","3","5","false","6","TARS2","79.66666667","3","0",,,"0","0.68386009","false","0","TARS2","932","0.37421384"
"1184","2.74159292","2.0836E-4","0.36475145","0.41758242","14","5","false","6","STIP1","83.78571429","14","0",,,"0","0.75120101","false","0","STIP1","14426","0.14225079"
"1185","2.9480826","3.182E-5","0.33920352","0.23809524","7","5","false","4","PPM1G","83.0","7","0",,,"0","0.72170249","false","0","PPM1G","2858","0.22415796"
"1186","2.79528024","6.304E-5","0.35774588","0.46969697","12","5","false",,"PPID","81.41666667","12","0",,,"0","0.74353139","false","0","PPID","5264","0.16752401"
"1187","3.74100295","0.0","0.267308","0.0","1","6","false",,"NUDCD1","35.0","1","0",,,"0","0.60842815","false","0","NUDCD1","0","0.0"
"1188","2.76873156","3.5377E-4","0.36117622","0.3974359","13","5","false","5","NUDC","122.53846154","13","0",,,"0","0.74732406","false","0","NUDC","30244","0.20875377"
"1189","3.04483776","2.926E-5","0.32842472","0.42857143","7","5","false","6","IPO9","74.14285714","7","0",,,"0","0.70788032","false","0","IPO9","2058","0.22981366"
"1190","2.8560472","8.847E-5","0.35013427","0.55555556","9","5","false","6","HSPH1","84.44444444","9","0",,,"0","0.7348504","false","0","HSPH1","6910","0.18518519"
"1191","2.74513274","4.5687E-4","0.36428111","0.30769231","13","5","false","6","HSPBP1","77.23076923","13","0",,,"0","0.75069532","false","0","HSPBP1","36960","0.13583424"
"1192","2.45899705","0.00471617","0.40666987","0.14884696","54","4","false",,"HSPB1","51.42592593","54","0",,,"0","0.79157185","false","0","HSPB1","237042","0.05649269"
"1193","2.69144543","6.0655E-4","0.37154757","0.3030303","22","5","false","6","HSPA2","73.04545455","22","0",,,"0","0.75836494","false","0","HSPA2","36864","0.11568938"
"1194","2.41179941","0.00907705","0.41462818","0.13020313","78","5","false","4","HDAC6","50.03846154","78","0",,,"0","0.79831437","false","0","HDAC6","460264","0.05211091"
"1195","2.96637168","1.252E-5","0.33711217","0.6","5","5","false","6","FKBP8","98.4","5","0",,,"0","0.71908976","false","0","FKBP8","756","0.30846395"
"1196","2.70855457","4.558E-4","0.36920061","0.51633987","18","5","false","5","EIF4H","138.11111111","18","0",,,"0","0.75592078","false","0","EIF4H","44986","0.21528861"
"1197","2.85722714","1.8067E-4","0.34998968","0.27777778","9","5","false",,"EEF1D","89.0","9","0",,,"0","0.73468184","false","0","EEF1D","17378","0.17061207"
"1198","2.94926254","2.02E-5","0.33906781","0.6","5","5","false","6","DNAJC7","109.0","5","0",,,"0","0.72153392","false","0","DNAJC7","2250","0.30734463"
"1199","2.96755162","9.414E-5","0.33697813","0.21376812","24","5","false","5","CIRBP","54.29166667","24","0",,,"0","0.7189212","false","0","CIRBP","7216","0.14080087"
"1200","2.91681416","1.303E-5","0.34283981","0.3","5","5","false","6","CHORDC1","107.2","5","0",,,"0","0.72616941","false","0","CHORDC1","1202","0.2848"
"1201","2.66548673","4.4615E-4","0.375166","0.33333333","16","5","false","6","CDC37","92.6875","16","0",,,"0","0.76207332","false","0","CDC37","33010","0.13877436"
"1202","2.80412979","6.984E-5","0.35661687","0.28571429","8","5","false",,"CACYBP","104.625","8","0",,,"0","0.74226717","false","0","CACYBP","6592","0.21239837"
"1203","2.5899705","0.00408794","0.38610478","0.14230769","40","5","false","6","BAG3","42.825","40","0",,,"0","0.77286136","false","0","BAG3","177126","0.05927083"
"1204","2.83421829","7.037E-5","0.35283097","0.47222222","9","5","false","6","BAG2","87.77777778","9","0",,,"0","0.73796882","false","0","BAG2","6070","0.18471636"
"1205","2.76460177","0.00316499","0.36171575","0.16256158","29","4","false","7","PAK2","34.13793103","29","0",,,"0","0.74791403","false","0","PAK2","130742","0.06974279"
"1206","2.78112094","0.00188561","0.35956725","0.21680672","35","5","false","7","ITGA6","32.97142857","35","0",,,"0","0.74555415","false","0","ITGA6","78626","0.06891811"
"1207","2.89852507","0.00110775","0.34500305","0.24301075","31","4","false","7","HSPG2","28.5483871","31","0",,,"0","0.72878213","false","0","HSPG2","50948","0.08208608"
"1208","3.07610619","1.5583E-4","0.32508631","0.37777778","10","5","false","7","GPC6","33.6","10","0",,,"0","0.7034134","false","0","GPC6","5246","0.16135266"
"1209","2.76519174","0.00468342","0.36163857","0.18893387","39","5","false","12","COL18A1","31.71794872","39","0",,,"0","0.74782975","false","0","COL18A1","178466","0.05789153"
"1210","2.36342183","0.02006436","0.42311533","0.0929939","98","4","false",,"APP","37.94897959","98","0",,,"0","0.80522545","false","0","APP","827882","0.03728453"
"1211","2.95457227","1.4964E-4","0.33845847","0.43636364","11","5","false","7","AGRN","54.36363636","11","0",,,"0","0.72077539","false","0","AGRN","8562","0.16374589"
"1212","2.78761062","5.011E-5","0.35873016","0.52777778","9","5","false",,"ZC3HAV1","96.11111111","9","0",,,"0","0.74462705","false","0","ZC3HAV1","6890","0.1888234"
"1213","3.06135693","3.1E-7","0.32665253","0.83333333","4","5","false","5","YLPM1","168.25","4","0",,,"0","0.70552044","false","0","YLPM1","64","0.45844687"
"1214","2.74100295","1.7289E-4","0.36482996","0.52173913","23","5","false","5","XRN2","130.17391304","23","0",,,"0","0.75128529","false","0","XRN2","21192","0.1987388"
"1215","2.80176991","7.918E-5","0.35691725","0.51515152","22","5","false","4","WHSC1","89.54545455","22","0",,,"0","0.7426043","false","0","WHSC1","9972","0.15876854"
"1216","2.93982301","5.8463E-4","0.34015653","0.05454545","11","5","false",,"UFC1","37.90909091","11","0",,,"0","0.72288243","false","0","UFC1","19766","0.11247611"
"1217","2.84896755","5.4634E-4","0.35100435","0.30555556","9","5","false","4","UBR5","99.77777778","9","0",,,"0","0.73586178","false","0","UBR5","27678","0.20611916"
"1218","3.13156342","1.179E-5","0.31932931","0.33333333","4","5","false","4","TSNAX","82.0","4","0",,,"0","0.69549094","false","0","TSNAX","1114","0.30617978"
"1219","3.27256637","2.209E-5","0.30557058","0.0","2","5","false","14","TSN","93.0","2","0",,,"0","0.67534766","false","0","TSN","1472","0.51111111"
"1220","2.79410029","6.81E-6","0.35789696","0.66666667","7","5","false","5","TROVE2","150.42857143","7","0",,,"0","0.74369996","false","0","TROVE2","1750","0.28873046"
"1221","3.08908555","0.0","0.3237204","1.0","3","5","false","5","TRMT10C","155.0","3","0",,,"0","0.70155921","false","0","TRMT10C","0","0.47839506"
"1222","2.42949853","0.00908789","0.41160758","0.17550411","104","4","false","4","TRIM28","60.05769231","104","0",,,"0","0.79578592","false","0","TRIM28","488470","0.06630897"
"1223","2.75634218","5.9056E-4","0.36279966","0.66304348","24","5","false","5","TIAL1","133.0","24","0",,,"0","0.74909397","false","0","TIAL1","50690","0.21004476"
"1224","2.64011799","0.00479667","0.37877095","0.24291498","39","4","false","7","THBS1","47.84615385","39","0",,,"0","0.76569743","false","0","THBS1","213518","0.07028658"
"1225","3.27433628","0.0","0.30540541","1.0","2","5","false","5","TDRKH","110.5","2","0",,,"0","0.67509482","false","0","TDRKH","0","0.55808081"
"1226","2.51858407","0.00591488","0.39704849","0.19048557","143","4","false","5","SFPQ","51.86713287","143","0",,,"0","0.78305942","false","0","SFPQ","422740","0.06752622"
"1227","2.79174041","8.3746E-4","0.35819949","0.45714286","15","5","false","5","SERBP1","128.46666667","15","0",,,"0","0.74403708","false","0","SERBP1","59746","0.21388889"
"1228","2.71681416","7.188E-5","0.36807818","0.64102564","13","5","false","6","SEH1L","121.92307692","13","0",,,"0","0.75474083","false","0","SEH1L","6542","0.19792707"
"1229","2.86135693","1.0797E-4","0.34948454","0.26666667","6","5","false","5","RNMT","98.83333333","6","0",,,"0","0.73409187","false","0","RNMT","9494","0.22085202"
