"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","module","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"715","3.02108678","1.3216E-4","0.33100671","0.2","5","6","false","7","F13A1","48.2","5","0",,,"0","0.71127332","false","0","F13A1","3826","0.23762376"
"1632","2.66909976","3.4279E-4","0.37465816","0.53333333","16","5","false","6","NUP93","97.5","16","0",,,"0","0.76155718","false","0","NUP93","13058","0.18774085"
"716","2.69099757","9.649E-5","0.3716094","0.58666667","25","5","false","5","DDX21","127.84","25","0",,,"0","0.75842892","false","0","DDX21","7058","0.23413919"
"717","3.1459854","1.866E-5","0.31786543","0.53333333","6","5","false","4","CTDP1","84.16666667","6","0",,,"0","0.69343066","false","0","CTDP1","1078","0.30545455"
"1067","2.68207624","0.00395006","0.37284548","0.1816092","30","5","false","7","LGALS3","33.86666667","30","0",,,"0","0.75970339","false","0","LGALS3","103954","0.07396061"
"1633","2.61557178","0.01498095","0.38232558","0.08819346","38","5","false","7","TSG101","28.44736842","38","0",,,"0","0.76920403","false","0","TSG101","294558","0.05508431"
"1634","2.67721006","0.01471318","0.37352317","0.11310782","44","5","false","7","TFRC","20.84090909","44","0",,,"0","0.76039856","false","0","TFRC","261316","0.05082848"
"1068","2.67477697","0.00530417","0.37386295","0.09803922","18","5","false","7","GRN","45.16666667","18","0",,,"0","0.76074615","false","0","GRN","93680","0.09737286"
"1635","3.14274128","2.971E-4","0.31819355","0.2","5","6","false","3","MRPS14","47.8","5","0",,,"0","0.6938941","false","0","MRPS14","5266","0.26779661"
"1069","2.54501217","0.00375034","0.39292543","0.26666667","75","5","false","5","FUBP1","54.73333333","75","0",,,"0","0.77928398","false","0","FUBP1","137110","0.09734282"
"1636","2.99513382","6.0446E-4","0.3338749","0.30555556","9","5","false","1","BCKDHB","48.22222222","9","0",,,"0","0.71498088","false","0","BCKDHB","19614","0.17777778"
"191","3.20437956","3.0671E-4","0.31207289","0.6","5","6","false","1","LDHD","51.8","5","0",,,"0","0.68508863","false","0","LDHD","7482","0.344"
"1070","2.81589619","4.3953E-4","0.35512673","0.18181818","11","5","false","4","CHMP4B","62.09090909","11","0",,,"0","0.74058626","false","0","CHMP4B","15328","0.15712967"
"1638","3.20762368","2.5211E-4","0.31175727","0.1","5","5","false","3","ABCB6","20.8","5","0",,,"0","0.68462519","false","0","ABCB6","3182","0.22696629"
"1639","3.2108678","0.0099876","0.31144228","0.06267806","27","5","false","14","VPS33B","6.74074074","27","0",,,"0","0.68416174","false","0","VPS33B","150648","0.06079665"
"1071","2.88402271","0.00161696","0.34673791","0.20879121","14","5","false","7","CD151","33.28571429","14","0",,,"0","0.7308539","false","0","CD151","36124","0.1167002"
"1640","3.28223844","1.3771E-4","0.30467013","0.53157895","20","6","false","2","UGT2B4","38.35","20","0",,,"0","0.67396594","false","0","UGT2B4","5110","0.24426752"
"192","4.1297648","3.582E-5","0.24214454","0.0","2","6","false","18","KIF1C","7.5","2","0",,,"0","0.55289074","false","0","KIF1C","158","0.5"
"1641","2.97891322","0.00195203","0.33569289","0.40840841","37","5","false","2","SULT2A1","30.45945946","37","0",,,"0","0.71729811","false","0","SULT2A1","71718","0.13770331"
"1073","3.36739659","0.0","0.29696532","1.0","2","6","false","7","CAPG","31.0","2","0",,,"0","0.66180049","false","0","CAPG","0","0.56363636"
"1642","2.57907543","0.00143522","0.38773585","0.60483871","32","4","false","5","SRSF6","126.78125","32","0",,,"0","0.7744178","false","0","SRSF6","71616","0.2108985"
"354","2.86780211","2.05E-6","0.3486991","0.5","4","5","false","4","NAA15","124.0","4","0",,,"0","0.73317113","false","0","NAA15","232","0.37125749"
"1643","3.14841849","3.3725E-4","0.31761978","0.37878788","12","5","false","1","SLC27A5","39.08333333","12","0",,,"0","0.69308307","false","0","SLC27A5","8670","0.18700159"
"1074","2.30494728","0.01544204","0.4338494","0.27784679","70","4","false","4","PARP1","66.4","70","0",,,"0","0.81357896","false","0","PARP1","439312","0.08133754"
"355","3.00162206","7.689E-5","0.3331532","0.4","5","5","false","17","MRPS11","87.2","5","0",,,"0","0.71405399","false","0","MRPS11","4328","0.30277778"
"1645","3.01378751","7.9316E-4","0.3318084","0.20952381","21","5","false","2","CYP8B1","24.85714286","21","0",,,"0","0.71231607","false","0","CYP8B1","24708","0.12319356"
"357","2.97810219","2.548E-5","0.33578431","0.38095238","7","5","false","5","LSM6","93.0","7","0",,,"0","0.71741397","false","0","LSM6","2038","0.26956522"
"1075","2.87104623","1.3537E-4","0.34830508","0.46666667","6","5","false","5","ANP32B","126.5","6","0",,,"0","0.73270768","false","0","ANP32B","11638","0.29795597"
"1646","3.10705596","2.4896E-4","0.32184808","0.25","8","5","false","1","CROT","49.75","8","0",,,"0","0.69899201","false","0","CROT","6180","0.21765351"
"1076","2.69343066","0.00245152","0.37127371","0.23076923","27","5","false","4","PTMA","61.85185185","27","0",,,"0","0.75808133","false","0","PTMA","54172","0.12355556"
"1647","2.42903487","0.01238177","0.41168614","0.19897959","49","4","false","4","CARM1","59.3877551","49","0",,,"0","0.79585216","false","0","CARM1","408074","0.0846604"
"719","2.86374696","0.00128559","0.34919286","0.14285714","7","5","false","7","GAK","48.28571429","7","0",,,"0","0.73375043","false","0","GAK","20908","0.16005733"
"1648","3.24249797","1.0658E-4","0.3084042","0.4","6","5","false","2","BAAT","43.16666667","6","0",,,"0","0.67964315","false","0","BAAT","2704","0.25542406"
"720","2.99594485","1.599E-5","0.33378452","0.53333333","6","5","false","4","DYNC1H1","65.0","6","0",,,"0","0.71486502","false","0","DYNC1H1","918","0.22968198"
"1649","3.84671533","5.6246E-4","0.25996205","0.0","2","6","false","9","ATP11C","16.5","2","0",,,"0","0.59332638","false","0","ATP11C","8662","0.5"
"1650","3.48094079","2.96E-5","0.28727866","0.52727273","11","6","false","2","AKR1D1","36.63636364","11","0",,,"0","0.64557989","false","0","AKR1D1","842","0.35227273"
"721","2.83698297","4.264E-5","0.35248714","0.47252747","14","5","false","5","DDX18","117.21428571","14","0",,,"0","0.73757386","false","0","DDX18","3866","0.24977155"
"1077","2.66261152","4.5E-5","0.37557112","0.5","13","5","false","4","ANP32A","132.69230769","13","0",,,"0","0.76248407","false","0","ANP32A","3570","0.25036284"
"722","3.06812652","8.003E-5","0.3259318","0.36363636","11","5","false","4","CKAP5","64.27272727","11","0",,,"0","0.70455335","false","0","CKAP5","2336","0.20440069"
"1652","3.05758313","5.2606E-4","0.3270557","0.45614035","19","5","false","2","ABCC3","31.26315789","19","0",,,"0","0.70605955","false","0","ABCC3","19468","0.20330237"
"1653","2.86861314","0.007473","0.34860051","0.35185185","28","5","false","2","ABCB11","31.32142857","28","0",,,"0","0.73305527","false","0","ABCB11","164984","0.11765499"
"1078","3.57096513","4.3225E-4","0.28003634","0.0","3","5","false","9","SLC12A7","20.0","3","0",,,"0","0.63271927","false","0","SLC12A7","7800","0.33333333"
"1079","3.30494728","0.00144759","0.30257669","0.33333333","3","5","false","5","CLNS1A","65.0","3","0",,,"0","0.67072182","false","0","CLNS1A","26832","0.42825607"
"723","2.73154907","7.318E-5","0.36609264","0.56666667","21","5","false","4","UBTF","97.38095238","21","0",,,"0","0.75263585","false","0","UBTF","5662","0.19593753"
"1080","4.9675588","0.0","0.20130612","0.0","1","7","false","9","ANTXR2","5.0","1","0",,,"0","0.43320589","false","0","ANTXR2","0","0.0"
"358","3.01703163","8.4E-6","0.33145161","0.4","5","5","false","5","GNL1","98.8","5","0",,,"0","0.71185262","false","0","GNL1","482","0.33767123"
"1658","3.09489051","8.7752E-4","0.32311321","0.32804878","41","5","false","2","UGT2B7","27.53658537","41","0",,,"0","0.70072993","false","0","UGT2B7","33804","0.13768293"
"1081","3.40713706","0.00192036","0.29350155","0.0","9","5","false","8","PPFIA1","9.0","9","0",,,"0","0.65612328","false","0","PPFIA1","26362","0.11428571"
"1659","2.95620438","0.00185386","0.3382716","0.30094467","39","5","false","2","UGT1A9","28.33333333","39","0",,,"0","0.72054223","false","0","UGT1A9","85910","0.12372635"
