name1	name2	TFCs
AADAC	CES1	19.5878063363106
AADAC	FABP1	27.6779296956037
AADAC	MGLL	20.0994214790857
AADAT	ABAT	34.4557368238826
AADAT	GOT2	56.2523131977355
AADAT	KMO	50.9131348805966
AAK1	ACOT7	12.6375940131349
AAR2	PRPF31	102.368058535275
AAR2	RUVBL1	32.911498256775
AAR2	SRRM2	54.6591690816575
AARS2	GMPS	18.5423954824681
AARS2	HSP90AB1	9.54964390500209
AARS2	NAT10	34.3889546700359
AARS2	NOS3	8.4918250260112
AARS2	PHGDH	24.7050329169861
AARS2	RBX1	15.6530802154929
AARS2	RPA1	19.9546389113275
AASS	ARG1	19.5001993928884
AASS	ASL	28.5119771688349
AASS	CPS1	20.2740365082036
AASS	GNMT	21.5641583569052
AASS	OAT	36.3692480542939
ABAT	ACADS	23.9853904015114
ABAT	ACADSB	53.4961060144911
ABAT	ACSF3	24.6428597640071
ABAT	ACSS1	11.9801960860527
ABAT	ACSS2	12.3355683668785
ABAT	ACSS3	14.755026831137
ABAT	AGXT2	28.1428166137689
ABAT	ALDH1B1	14.1671955507953
ABAT	ALDH2	14.0108041573521
ABAT	ALDH4A1	30.8524157221779
ABAT	ALDH6A1	30.3133751559609
ABAT	ALDH8A1	21.6950358856795
ABAT	ALDOB	13.9009368161204
ABAT	AOC3	17.5119014176116
ABAT	AOX1	20.7084401741879
ABAT	ASL	17.7062222543565
ABAT	ASS1	22.3032988661344
ABAT	CAT	14.4747613364306
ABAT	DAO	27.1416459550076
ABAT	DBT	53.9326254286791
ABAT	DCXR	17.0849648323717
ABAT	EHHADH	19.106833348349
ABAT	FABP4	12.6429993762095
ABAT	FABP5	11.1968278762991
ABAT	FAH	25.9894813253282
ABAT	FTCD	24.4625212979765
ABAT	GLUD1	24.1533679487298
ABAT	GLUD2	25.8980677200785
ABAT	GOT2	29.1977702093949
ABAT	GPT	42.3085121740761
ABAT	GRHPR	22.8592753504227
ABAT	HADH	17.7011865553979
ABAT	HAGH	20.2030379704273
ABAT	MRPL38	17.4474350775948
ABAT	MSRA	21.0086074178409
ABAT	NPEPL1	1.51645824654185
ABAT	OAT	25.9748013893024
ABAT	OGDHL	18.1885000858735
ABAT	PCCA	24.3512401425103
ABAT	PGM1	14.6975410176779
ABAT	PHGDH	35.6442002086324
