name1	name2	TFCs
AADAC	CES1	19.5878063363106
AADAC	CES2	38.2808927081935
AADAC	CES3	40.9547451155903
AADAC	COG1	13.4080020490682
AADAC	EMC1	2.93997117782554
AADAC	FABP1	27.6779296956037
AADAC	MGLL	20.0994214790857
AADAC	PSAT1	15.990943159533
AADAT	AASS	46.6566227663665
AADAT	ABAT	34.4557368238826
AADAT	ACMSD	32.8715192205592
AADAT	AFMID	36.770908154466
AADAT	BCAT2	40.555575953857
AADAT	CRYM	35.714221355586
AADAT	CTH	32.3245223249915
AADAT	DHTKD1	26.686295989446
AADAT	GOT2	56.2523131977355
AADAT	HAAO	31.3383438009598
AADAT	KMO	50.9131348805966
AADAT	KYNU	38.0834896829334
AADAT	LPCAT2	18.9413118775794
AADAT	PHYKPL	39.6240161797285
AADAT	PIPOX	36.452086974336
AADAT	QDPR	52.9248847943309
AADAT	QPRT	23.7416378228182
AADAT	RALY	25.2362831467981
AADAT	TDO2	43.9273864960465
AAK1	ACOT7	12.6375940131349
AAK1	ARFGAP1	24.290794257171
AAK1	CAP2	18.914894860755
AAK1	DBN1	18.1404048834848
AAK1	EPS15L1	27.2779156249049
AAK1	FCHO2	28.75829934602
AAK1	GAK	29.7680620795675
AAK1	HIP1	40.584973509864
AAK1	HIP1R	41.7373349223709
AAK1	ITSN2	14.1715157882445
AAK1	PPIH	31.2863003821388
AAK1	SCYL2	21.8775600495111
AAK1	SYNJ1	20.3570812889983
AAK1	SYNRG	16.4945949617045
AAK1	UBQLN2	27.5421724232466
AAR2	CDC5L	55.9918492656509
AAR2	DDX23	63.1037359638195
AAR2	DDX46	54.1172191294915
AAR2	DHX15	56.1078622370327
AAR2	EFTUD1	0.69372255011053
AAR2	EFTUD2	57.9465392279058
AAR2	NHP2	26.1796805657595
AAR2	PFDN6	25.3308982571387
AAR2	PRPF19	103.728285609617
AAR2	PRPF31	102.368058535275
AAR2	PRPF4	53.8532415469101
AAR2	PRPF40A	55.2490699433829
AAR2	PRPF6	101.158182141254
AAR2	PRPF8	102.935404545217
AAR2	RBM22	54.386923666991
AAR2	RPAP3	0.400530283372892
AAR2	RUVBL1	32.911498256775
AAR2	RUVBL2	32.8672850484523
AAR2	SART1	90.0533240771106
AAR2	SEC16A	14.5828908658145
AAR2	SF3A1	66.4443315498772
AAR2	SNRNP200	68.3756825429633
AAR2	SNRNP40	53.764925522789
AAR2	SNRNP70	55.5495052198746
AAR2	SNRPA	54.9325344661748
AAR2	SNRPB	92.0067583860602
AAR2	SNRPD1	92.1698084950547
AAR2	SNRPD3	92.4739329166192
AAR2	SNW1	55.0260516369516
AAR2	SRRM2	54.6591690816575
AAR2	SRSF5	68.2232664085812
AAR2	STRN	10.2757348060349
AAR2	TTC27	7.55585324358165
AAR2	USP39	75.0947074928354
AAR2	XRN2	40.1556434930962
AARS2	ALDH18A1	28.6010356830559
AARS2	ANAPC1	11.0598958877007
AARS2	ANAPC2	11.3247354015432
AARS2	CSTF2	36.547303888067
AARS2	DARS2	67.286019359859
AARS2	EIF3B	29.3477873242475
AARS2	ETF1	33.2484059357507
AARS2	FARSA	52.6760404849335
AARS2	FARSB	56.5379052823053
AARS2	GARS	0.5043559562776
AARS2	GMPS	18.5423954824681
AARS2	HARS2	69.8548320451699
AARS2	HSP90AB1	9.54964390500209
AARS2	IARS	0.574882382093767
AARS2	IPO4	2.41042405463356
AARS2	LARS	0.578769962920272
AARS2	LARS2	67.3946652599235
AARS2	MARS	0.834851912237791
AARS2	MRPS16	49.0599236303468
AARS2	MRPS22	31.7057702883549
AARS2	MRPS34	44.2954626171865
AARS2	NARS	0.580284854174224
AARS2	NAT10	34.3889546700359
AARS2	NOS3	8.4918250260112
AARS2	NTPCR	1.66309111943357
AARS2	OLA1	6.64894159466672
AARS2	OXA1L	13.6936345256209
AARS2	PHGDH	24.7050329169861
AARS2	PSAT1	18.3001306806042
AARS2	PSPH	15.2012336929119
AARS2	PUS1	45.7853637372341
AARS2	RBX1	15.6530802154929
AARS2	RPA1	19.9546389113275
AARS2	SRP14	3.43939739187875
AARS2	SRP19	3.42102723676442
AARS2	SRP68	3.3451339176267
AARS2	SRP9	2.25176034471537
AARS2	TARS2	70.76903436505
AARS2	VARS	0.867766579169835
AARS2	XPOT	2.75056954860584
AARS2	YME1L1	14.1934142962917
AASS	AFMID	23.6225236607005
AASS	ALDH18A1	50.4912230232674
AASS	ARG1	19.5001993928884
AASS	ASL	28.5119771688349
AASS	ASS1	22.3982607994675
AASS	ATXN2	12.4792110111513
AASS	BCAT2	47.9225056206239
AASS	CALU	20.5844767049657
AASS	CPS1	20.2740365082036
AASS	DNAJC2	8.11762613461724
AASS	GLS2	32.707826452611
AASS	GNMT	21.5641583569052
AASS	GTF2F1	13.3522063682048
AASS	HAL	36.0698059536215
AASS	HGD	44.5720089292482
AASS	MRPL4	17.0326178043451
AASS	OAT	36.3692480542939
AASS	OTC	36.4848638348207
AASS	PFKP	11.0128782402032
AASS	PHYKPL	53.1214947800002
AASS	PIPOX	40.0063612093852
AASS	SDS	43.8363317691926
AASS	SELENBP1	2.04518302428489
AASS	SRM	13.0616747321798
AASS	TAT	32.4858035372638
AASS	TRMT112	12.1564157552078
AASS	UROC1	38.0851417496131
ABAT	ACADS	23.9853904015114
ABAT	ACADSB	53.4961060144911
ABAT	ACSF3	24.6428597640071
ABAT	ACSS1	11.9801960860527
ABAT	ACSS2	12.3355683668785
ABAT	ACSS3	14.755026831137
ABAT	AGXT2	28.1428166137689
ABAT	ALDH1B1	14.1671955507953
