name1	name2	module
ACTL6A	SAE1	4
ACTL6A	NUP37	4
ACTL6A	BANF1	4
ACTL6A	DR1	4
ACTL6A	COPS7B	4
ACTL6A	UBA2	4
ACTL6A	RUVBL2	4
ACTL6A	BUB3	4
ACTL6A	SMARCE1	4
ACTL6A	ANP32E	4
ACTL6A	KDM3B	4
ACTL6A	TBL1XR1	4
ACTL6A	SMARCD2	4
ADH1B	SULT1A1	2
ADH1B	AOX1	2
ADH1B	UGT2B17	2
ADH1B	GSTA1	2
ADH1B	IFI30	2
ADH1B	ADH6	2
ADH1B	MGST1	2
ADH1B	UGT2B15	2
ADH1B	GSTA2	2
ADH1B	UGT1A4	2
ADH1B	ADH1C	2
ADH1B	UGT2B4	2
ADH1B	SULT1A2	2
ADH4	UGT2B15	2
ADH4	UGT2B4	2
ADH4	GSTA1	2
ADH4	GSTA2	2
ADH4	RDH16	2
ADH4	AOX1	2
ADH4	AMDHD1	2
ADH4	ADH6	2
ADH4	UGT2B17	2
ADH4	OCIAD2	2
ADH4	MGST1	2
ADH4	IFI30	2
ADH4	UGT1A4	2
ADIPOQ	LPA	7
AGO2	PUM1	5
AGO2	ATXN2L	5
AGO2	LSM1	5
AGO2	TROVE2	5
AGO2	G3BP2	5
AGO2	RNMT	5
AGO2	GIGYF2	5
AGO2	SNRNP70	5
AGO2	CNOT1	5
AGO2	UPF1	5
AGO2	FUBP3	5
AGO2	KHSRP	5
AGO2	EIF4A3	5
AGO2	ATXN2	5
AGO2	LIMD1	5
AGO2	EDC4	5
AGO2	DDX39A	5
AGO2	PABPC1	5
AGO2	PABPN1	5
AGO2	BUD31	5
AGO2	DHX30	5
AGO2	PABPC4	5
AGO2	FMR1	5
AGO2	RPL21	5
AGO2	SERBP1	5
AGO2	FXR1	5
AGO2	G3BP1	5
AGO2	GIGYF1	5
AGO2	GNL3	5
AGO2	TIAL1	5
AGO2	DHX36	5
AGO2	XRN2	5
AGO2	RBM8A	5
AGO2	RBM4	5
AGO2	TDRKH	5
AGO2	YLPM1	5
AGO2	FUS	5
AGO2	RBM47	5
AGO2	STAU1	5
AGO2	PNPT1	5
AGO2	DDX6	5
AGO2	TRMT10C	5
AGO2	NCBP1	5
